bt2_event_id,run_key,v4_status,v5_status,status_delta,v4_raw_market,v4_raw_selection,v4_no_pick_reason,v5_raw_market,v5_raw_selection,v5_no_pick_reason
102328,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,home,,FT_1X2,home,
102329,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,Coherence warning and insufficient team data,FT_1X2,home,
102330,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,odds_margin_too_high_and_insufficient_data,FT_1X2,home,
102331,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,home,,FT_1X2,home,
102333,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Insufficient edge: high book spread ratio (1.56), overround, and lack of reliable recent form or historical advantage.",FT_1X2,home,
102334,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Insufficient reliable data: no recent form, missing team season stats, odds coherence warning, and h2h records show no wins for either side. High uncertainty.",FT_1X2,home,
102336,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,insufficient_signals,FT_1X2,home,
102337,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,away,,FT_1X2,away,
102339,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,High book spread ratio and insufficient statistical support for a confident pick.,FT_1X2,home,
102340,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Missing team statistics, recent form, and H2H data insufficient; odds coherence warning indicates potential imbalance; not enough conviction for a pick.",FT_1X2,home,
102342,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,Insufficient data and coherence warning,FT_1X2,away,
102346,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,away,,FT_1X2,away,
102349,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,Insufficient confidence due to coherence warning and lack of strong predictive signals.,FT_1X2,away,
102350,shadow-subset5-backfill-2026-04,dsr_empty_signal,dsr_failed,dsr_empty_signal->dsr_failed,UNKNOWN,unknown_side,"Insufficient signal: close odds, inconclusive H2H, unreliable statistics",,,
102351,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,Insufficient data to make a confident pick,FT_1X2,home,
102352,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,away,,FT_1X2,away,
102353,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,insufficient_data,FT_1X2,home,
102354,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Insufficient conviction due to missing lineups, team stats, and recent form data; odds show moderate home favoritism but no strong signal.",FT_1X2,home,
102355,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Insufficient predictive signals: missing team stats, prediction signals, and odd rest days; H2H shows no historical home wins; odds skew but lack confirmation.",FT_1X2,home,
102356,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,home,,FT_1X2,home,
102357,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,Insufficient recent data and coherence warning,FT_1X2,away,
102358,shadow-subset5-backfill-2026-04,dsr_failed,ok,dsr_failed->ok,,,,FT_1X2,home,
102361,shadow-subset5-backfill-2026-04,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,No confident pick possible with provided data.,FT_1X2,away,
102543,shadow-subset5-backfill-2026-04,dsr_empty_signal,dsr_failed,dsr_empty_signal->dsr_failed,UNKNOWN,unknown_side,"Coherence warning on FT_1X2 odds, multiple key player absences on both sides, insufficient trustworthy signals.",,,
102606,shadow-daily-2026-04-22,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Insufficient reliable data: no recent team statistics, no lineups, no head-to-head advantage, market coherence warning, and match far in future.",FT_1X2,home,
102610,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,away,,FT_1X2,away,
102611,shadow-subset5-backfill-2026-04,dsr_empty_signal,dsr_failed,dsr_empty_signal->dsr_failed,UNKNOWN,unknown_side,Insufficient statistical edge; odds imply balanced matchup; H2H limited; squad and tactical data not conclusive.,,,
102612,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,home,,FT_1X2,home,
102613,shadow-subset5-backfill-2026-04,dsr_failed,ok,dsr_failed->ok,,,,FT_1X2,home,
102620,shadow-subset5-backfill-2026-04,ok,ok,unchanged,FT_1X2,home,,FT_1X2,home,
102628,shadow-daily-2026-04-20,ok,ok,unchanged,FT_1X2,home,,FT_1X2,home,
102631,shadow-daily-2026-04-22,dsr_empty_signal,ok,dsr_empty_signal->ok,UNKNOWN,unknown_side,"Incomplete data: team season stats missing, h2h unavailable, lineups unavailable",FT_1X2,home,
