shadow_pick_id,run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,cdm_odds_t60_ok,selection_source,run_family
244,shadow-subset5-backfill-2026-04,2026-04-11,102355,19425200,384,Serie A,true,dsr_api_only,shadow_dsr_replay
214,shadow-subset5-backfill-2026-04,2026-04-12,102352,19427195,8,Premier League,true,dsr_api_only,shadow_dsr_replay
203,shadow-daily-2026-04-22,2026-04-22,102606,19439572,564,La Liga,true,dsr_api_only,shadow_dsr_replay
235,shadow-subset5-backfill-2026-04,2026-04-12,102342,19467887,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
243,shadow-subset5-backfill-2026-04,2026-04-11,102354,19425193,384,Serie A,true,dsr_api_only,shadow_dsr_replay
193,shadow-daily-2026-04-20,2026-04-20,102628,19427731,8,Premier League,true,dsr_api_only,shadow_dsr_replay
262,shadow-subset5-backfill-2026-04,2026-04-12,102336,19439550,564,La Liga,true,dsr_api_only,shadow_dsr_replay
239,shadow-subset5-backfill-2026-04,2026-04-18,102611,19467901,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
242,shadow-subset5-backfill-2026-04,2026-04-10,102353,19425199,384,Serie A,true,dsr_api_only,shadow_dsr_replay
213,shadow-subset5-backfill-2026-04,2026-04-12,102351,19427725,8,Premier League,true,dsr_api_only,shadow_dsr_replay
259,shadow-subset5-backfill-2026-04,2026-04-12,102333,19439556,564,La Liga,true,dsr_api_only,shadow_dsr_replay
233,shadow-subset5-backfill-2026-04,2026-04-11,102340,19467893,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
251,shadow-subset5-backfill-2026-04,2026-04-13,102543,19425195,384,Serie A,true,dsr_api_only,shadow_dsr_replay
212,shadow-subset5-backfill-2026-04,2026-04-12,102350,19427724,8,Premier League,true,dsr_api_only,shadow_dsr_replay
256,shadow-subset5-backfill-2026-04,2026-04-11,102330,19439553,564,La Liga,true,dsr_api_only,shadow_dsr_replay
238,shadow-subset5-backfill-2026-04,2026-04-18,102610,19467898,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
246,shadow-subset5-backfill-2026-04,2026-04-11,102357,19425191,384,Serie A,true,dsr_api_only,shadow_dsr_replay
201,shadow-daily-2026-04-22,2026-04-22,102631,19427739,8,Premier League,true,dsr_api_only,shadow_dsr_replay
257,shadow-subset5-backfill-2026-04,2026-04-11,102331,19439551,564,La Liga,true,dsr_api_only,shadow_dsr_replay
232,shadow-subset5-backfill-2026-04,2026-04-11,102339,19467891,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
250,shadow-subset5-backfill-2026-04,2026-04-12,102361,19425194,384,Serie A,true,dsr_api_only,shadow_dsr_replay
217,shadow-subset5-backfill-2026-04,2026-04-18,102620,19427733,8,Premier League,true,dsr_api_only,shadow_dsr_replay
255,shadow-subset5-backfill-2026-04,2026-04-11,102329,19439558,564,La Liga,true,dsr_api_only,shadow_dsr_replay
240,shadow-subset5-backfill-2026-04,2026-04-18,102612,19467895,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
247,shadow-subset5-backfill-2026-04,2026-04-12,102358,19425196,384,Serie A,true,dsr_api_only,shadow_dsr_replay
211,shadow-subset5-backfill-2026-04,2026-04-12,102349,19427196,8,Premier League,true,dsr_api_only,shadow_dsr_replay
260,shadow-subset5-backfill-2026-04,2026-04-12,102334,19439555,564,La Liga,true,dsr_api_only,shadow_dsr_replay
241,shadow-subset5-backfill-2026-04,2026-04-19,102613,19467903,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
245,shadow-subset5-backfill-2026-04,2026-04-11,102356,19425197,384,Serie A,true,dsr_api_only,shadow_dsr_replay
208,shadow-subset5-backfill-2026-04,2026-04-11,102346,19427194,8,Premier League,true,dsr_api_only,shadow_dsr_replay
254,shadow-subset5-backfill-2026-04,2026-04-10,102328,19439557,564,La Liga,true,dsr_api_only,shadow_dsr_replay
230,shadow-subset5-backfill-2026-04,2026-04-10,102337,19467890,301,Ligue 1,true,dsr_api_only,shadow_dsr_replay
